hhld_id,drvr_cnt,veh_cnt,min_age,hoh_age,max_age,avg_age,min_mon_lic,hoh_mon_lic,max_mon_lic,avg_mon_lic,cnt_yth,cnt_female,cnt_male,cnt_married,cnt_single,hoh_married,cnt_auto,cnt_mtrcyc,avg_majr_viol,cnt_majr_viol,cnt_minr_viol,avg_minr_viol,cnt_lic_susp,curnt_insurer,time_w_carr,inforce_ind,prior_bi,fire_ind,homeowner_ind,veh_lien_cnt,veh_lease_cnt,veh_own_cnt,monthly_pay_ind,veh_w_coll_cnt,veh_w_comp_cnt,veh_w_ers_cnt,curnt_bi_low,curnt_bi_upp,credit_score
2015,2,1,38.8815656,55.98572787,55.98572787,47.43364673,274.5787872,479.8287344,479.8287344,377.2037608,0,1,1,2,0,TRUE,1,0,0,0,0,0,0,LIBERTY MUTUAL,0,1,1.00E+05,1,1,0,0,0,0,0,0,0,25,25,527.8661707
11557,3,1,18.97000721,44.72754805,54.12082412,39.27279313,35.64008658,344.7305766,457.4498894,279.2735175,0,3,0,2,1,TRUE,1,0,0,0,1,0.333333333,0,AMERICAN FAMILY,4,1,250000,0,0,NA,0,0,0,1,1,1,50,50,802.4829439
5390,1,2,56.74513936,56.74513936,56.74513936,56.74513936,488.9416724,488.9416724,488.9416724,488.9416724,0,0,1,0,1,FALSE,2,0,0,0,1,1,0,AMERICAN FAMILY,3,1,250000,0,0,NA,0,2,0,1,1,0,25,25,725.5108287
4317,1,1,47.37004744,47.37004744,47.37004744,47.37004744,333.5392135,290.6378577,290.6378577,290.6378577,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,GEICO,2,1,250000,0,0,NA,0,0,0,1,1,1,50,50,772.4595063
767,1,1,75.34663959,75.34663959,75.34663959,75.34663959,712.1596751,712.1596751,712.1596751,712.1596751,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,0,NA,0,0,0,0,0,0,50,50,660.5775464
3248,2,2,43.67474348,48.45907337,48.45907337,46.06690843,332.0969218,389.5088805,389.5088805,360.8029011,0,0,2,0,2,FALSE,2,0,0,0,0,0,0,PROGRESSIVE,2,1,25000,1,1,NA,0,1,1,1,1,1,250,250,728.4902975
3087,2,1,42.39271811,47.14642963,47.14642963,44.76957387,316.7126173,373.7571556,373.7571556,345.2348865,0,2,0,2,0,TRUE,1,0,0,0,0,0,0,OTHER,5,1,250000,0,1,NA,0,0,0,1,1,1,50,50,706.3436104
5666,2,1,24.30529843,53.06414258,53.06414258,38.68472051,99.66358122,444.769711,444.769711,272.2166461,0,1,1,2,0,TRUE,1,0,0,0,0,0,0,GEICO,1,1,25000,0,0,NA,1,0,0,1,1,1,100,100,739.2987781
10134,1,1,31.01188512,31.01188512,31.01188512,31.01188512,180.1426215,180.1426215,180.1426215,180.1426215,0,0,1,0,1,FALSE,1,0,0,0,1,1,0,MISSING,NA,0,NA,0,0,NA,0,0,0,0,0,1,250,250,663.960371
16700,2,2,41.02378339,52.38753557,52.38753557,46.70565948,300.2854007,436.6504268,436.6504268,368.4679137,0,0,2,0,2,FALSE,2,0,0,0,0,0,0,PROGRESSIVE,4,1,25000,1,0,NA,0,1,1,2,2,2,25,25,NA
18296,2,2,45.36878183,45.84684293,45.84684293,45.60781238,352.4253819,358.1621152,358.1621152,355.2937485,0,2,0,2,0,TRUE,2,0,0,0,0,0,0,OTHER,5,1,25000,0,1,NA,0,2,0,1,1,0,50,50,849.7401116
1269,3,3,16.50751056,52.21050301,52.21050301,42.61276207,6.090126743,434.5260361,434.5260361,319.3531448,1,2,1,0,3,FALSE,3,0,0,0,1,0.333333333,0,LIBERTY MUTUAL,5,1,250000,0,0,NA,0,1,0,2,2,0,50,50,794.7567246
17419,4,3,21.01057117,38.8815656,55.98572787,37.29120453,60.12685404,274.5787872,479.8287344,255.4944544,0,3,1,2,2,TRUE,3,0,0,0,0,0,0,GEICO,5,1,50000,0,1,NA,0,0,0,1,1,0,50,50,684.4864328
2797,1,2,39.95654816,39.95654816,39.95654816,39.95654816,287.4785779,287.4785779,287.4785779,287.4785779,0,1,0,0,1,FALSE,2,0,0,0,0,0,0,OTHER,5,1,50000,1,0,NA,0,0,0,1,2,1,250,250,529.6645565
13773,2,2,29.23054869,41.70359534,41.70359534,35.46707201,158.7665843,308.443144,308.443144,233.6048642,0,1,1,1,1,TRUE,2,0,0,0,0,0,0,PROGRESSIVE,1.5,1,25000,0,1,NA,0,1,0,1,1,1,50,50,630.916307
2428,1,1,52.47053383,52.47053383,52.47053383,52.47053383,437.646406,437.646406,437.646406,437.646406,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,PROGRESSIVE,5,1,250000,0,1,NA,0,0,0,1,1,1,50,50,734.1062423
17479,2,1,38.02262694,53.48554758,53.48554758,45.75408726,264.2715232,449.826571,449.826571,357.0490471,0,1,1,2,0,TRUE,1,0,0,0,0,0,0,LIBERTY MUTUAL,0,1,25000,1,0,NA,0,1,1,0,0,1,100,100,657.4064099
14839,2,1,51.98615218,62.44885319,62.44885319,57.21750268,431.8338261,557.3862382,557.3862382,494.6100322,0,1,1,2,0,TRUE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,1,NA,0,0,0,0,0,1,25,25,759.6662894
1255,1,1,57.18435756,57.18435756,57.18435756,57.18435756,494.2122907,494.2122907,494.2122907,494.2122907,0,0,1,0,1,FALSE,0,1,0,0,0,0,0,MISSING,NA,0,NA,1,1,NA,0,0,0,0,0,0,100,100,648.8317523
14186,2,1,41.40626778,60.23951746,60.23951746,50.82289262,304.8752134,530.8742095,530.8742095,417.8747115,0,1,1,1,1,TRUE,1,0,0,0,0,0,0,OTHER,1.5,1,25000,0,0,NA,0,0,1,1,1,1,250,250,750.6364663
9866,1,1,55.9555322,55.9555322,55.9555322,55.9555322,479.4663864,479.4663864,479.4663864,479.4663864,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,PROGRESSIVE,3,1,25000,0,0,NA,0,0,0,0,0,0,50,50,653.4164121
1301,1,1,16.2472078,16.2472078,16.2472078,16.2472078,2.966493629,2.966493629,2.966493629,2.966493629,1,1,0,0,1,FALSE,0,1,0,0,1,1,0,ALLSTATE,2,1,1.00E+05,0,0,NA,0,0,1,1,0,1,25,25,694.6005782
8482,1,1,48.03786258,48.03786258,48.03786258,48.03786258,384.454351,384.454351,384.454351,384.454351,0,1,0,0,1,FALSE,1,0,0,0,1,1,0,MISSING,NA,0,NA,1,0,NA,0,0,0,1,1,1,100,100,850
18367,2,2,29.46989671,61.89572211,61.89572211,45.68280941,161.6387606,550.7486653,550.7486653,356.1937129,0,2,0,2,0,TRUE,2,0,0,0,0,0,0,OTHER,5,1,1.00E+05,1,1,NA,0,0,0,1,1,1,100,100,701.5257998
4182,1,1,16,16,16,16,0,0,0,0,1,0,1,1,0,TRUE,1,0,0,0,0,0,0,GEICO,0,1,25000,1,1,NA,0,1,1,1,1,1,25,25,637.1736119
5960,1,2,66.97656161,66.97656161,66.97656161,66.97656161,611.7187394,611.7187394,611.7187394,611.7187394,0,1,0,0,1,FALSE,2,0,0,0,0,0,0,GEICO,5,1,250000,0,0,NA,0,2,0,2,2,1,25,25,613.9785704
